13, 3, 25, 24, 25, 45, 25, 31, 35, 70, 0
3, 15, 45, 42, 16, 70, 17, 21, 36, 40, 1
8, 12, 34, 28, 21, 57, 23, 26, 31, 50, 1
7, 16, 34, 30, 21, 54, 13, 16, 32, 36, 1
11, 14, 27, 24, 20, 52, 16, 18, 35, 39, 0
10, 12, 29, 30, 25, 45, 23, 26, 31, 50, 0
13, 11, 25, 24, 25, 45, 25, 27, 28, 52, 0
16, 10, 23, 19, 28, 36, 16, 26, 45, 45, 1
3, 6, 45, 42, 16, 70, 30, 32, 29, 66, 1
2, 8, 53, 55, 10, 97, 23, 19, 25, 57, 1
14, 8, 23, 27, 30, 39, 23, 19, 25, 57, 0
4, 15, 42, 39, 12, 72, 17, 21, 36, 40, 1
13, 4, 25, 24, 25, 45, 30, 24, 27, 72, 1
5, 2, 38, 34, 16, 71, 44, 34, 12, 97, 0
18, 12, 20, 19, 23, 49, 23, 26, 31, 50, 1
5, 8, 38, 34, 16, 71, 23, 19, 25, 57, 0
3, 7, 45, 42, 16, 70, 20, 24, 25, 54, 1
15, 13, 23, 24, 32, 40, 20, 18, 23, 45, 1
7, 4, 34, 30, 21, 54, 30, 24, 27, 72, 1
4, 2, 42, 39, 12, 72, 44, 34, 12, 97, 0
9, 6, 31, 32, 27, 52, 30, 32, 29, 66, 1
1, 12, 54, 57, 12, 98, 23, 26, 31, 50, 1
11, 5, 27, 24, 20, 52, 33, 33, 23, 71, 1
10, 1, 29, 30, 25, 45, 44, 38, 11, 98, 0
7, 12, 34, 30, 21, 54, 23, 26, 31, 50, 1
14, 9, 23, 27, 30, 39, 21, 20, 28, 52, 0
3, 1, 45, 42, 16, 70, 44, 38, 11, 98, 0
12, 6, 27, 26, 28, 50, 30, 32, 29, 66, 1
5, 4, 38, 34, 16, 71, 30, 24, 27, 72, 0
1, 20, 54, 57, 12, 98, 7, 12, 45, 16, 1
2, 7, 53, 55, 10, 97, 20, 24, 25, 54, 1
2, 20, 53, 55, 10, 97, 7, 12, 45, 16, 1
5, 15, 38, 34, 16, 71, 17, 21, 36, 40, 1
1, 6, 54, 57, 12, 98, 30, 32, 29, 66, 0
8, 9, 34, 28, 21, 57, 21, 20, 28, 52, 1
1, 4, 54, 57, 12, 98, 30, 24, 27, 72, 1
4, 18, 42, 39, 12, 72, 29, 32, 30, 49, 1
5, 16, 38, 34, 16, 71, 13, 16, 32, 36, 1
12, 7, 27, 26, 28, 50, 20, 24, 25, 54, 0
9, 2, 31, 32, 27, 52, 44, 34, 12, 97, 0
4, 5, 42, 39, 12, 72, 33, 33, 23, 71, 1
2, 10, 53, 55, 10, 97, 16, 26, 45, 45, 1
16, 18, 23, 19, 28, 36, 29, 32, 30, 49, 0
10, 16, 29, 30, 25, 45, 13, 16, 32, 36, 1
3, 1, 45, 42, 16, 70, 44, 38, 11, 98, 0
15, 18, 23, 24, 32, 40, 29, 32, 30, 49, 0
18, 2, 20, 19, 23, 49, 44, 34, 12, 97, 0
18, 1, 20, 19, 23, 49, 44, 38, 11, 98, 0
4, 13, 42, 39, 12, 72, 20, 18, 23, 45, 1
3, 20, 45, 42, 16, 70, 7, 12, 45, 16, 1
13, 3, 25, 24, 25, 45, 25, 31, 35, 70, 0
12, 2, 27, 26, 28, 50, 44, 34, 12, 97, 1


