1, 54, 57, 12, 44, 38, 11, 98
2, 53, 55, 10, 44, 34, 12, 97	
3, 45, 42, 16, 25, 31, 35, 70
4, 42, 39, 12, 30, 24, 27, 72
5, 38, 34, 16, 33, 33, 23, 71
6, 36, 33, 25, 30, 32, 29, 66
7, 34, 30, 21, 20, 24, 25, 54
8, 34, 28, 21, 23, 19, 25, 57
9, 31, 32, 27, 21, 20, 28, 52
10, 29, 30, 25, 16, 26, 45, 45
11, 27, 24, 20, 25, 27, 28, 52
12, 27, 26, 28, 23, 26, 31, 50
13, 25, 24, 25, 20, 18, 23, 45
14, 23, 27, 30, 16, 18, 35, 39
15, 23, 24, 32, 17, 21, 36, 40
16, 23, 19, 28, 13, 16, 32, 36
17, 21, 22, 36, 5, 12, 45, 26
18, 20, 19, 23, 29, 32, 30, 49
19, 20, 21, 38, 14, 13, 31, 34
20, 9, 10, 31, 7, 12, 45, 16
